"","cod_distrito","distrito_nombre","cod_canton","canton_nombre","provincia_nombre","n_years"
"259",30303,"San Juan",303,"La Unión","Cartago",11
"260",30304,"San Rafael",303,"La Unión","Cartago",11
"261",30305,"Concepción",303,"La Unión","Cartago",11
"262",30306,"Dulce Nombre",303,"La Unión","Cartago",11
"263",30307,"San Ramón",303,"La Unión","Cartago",11
"264",30308,"Río Azul",303,"La Unión","Cartago",11
"265",30401,"Juan Viñas",304,"Jiménez","Cartago",11
"266",30402,"Tucurrique",304,"Jiménez","Cartago",11
"267",30403,"Pejibaye",304,"Jiménez","Cartago",11
"268",30404,"La Victoria",304,"Jiménez","Cartago",3
"269",30501,"Turrialba",305,"Turrialba","Cartago",11
"270",30502,"La Suiza",305,"Turrialba","Cartago",11
"271",30503,"Peralta",305,"Turrialba","Cartago",11
"272",30504,"Santa Cruz",305,"Turrialba","Cartago",11
"273",30505,"Santa Teresita",305,"Turrialba","Cartago",11
"274",30506,"Pavones",305,"Turrialba","Cartago",11
"275",30507,"Tuis",305,"Turrialba","Cartago",11
"276",30508,"Tayutic",305,"Turrialba","Cartago",11
"277",30509,"Santa Rosa",305,"Turrialba","Cartago",11
"278",30510,"Tres Equis",305,"Turrialba","Cartago",11
"279",30511,"La Isabel",305,"Turrialba","Cartago",11
"280",30512,"Chirripó",305,"Turrialba","Cartago",11
"281",30601,"Pacayas",306,"Alvarado","Cartago",11
"282",30602,"Cervantes",306,"Alvarado","Cartago",11
"283",30603,"Capellades",306,"Alvarado","Cartago",11
"284",30701,"San Rafael",307,"Oreamuno","Cartago",11
"285",30702,"Cot",307,"Oreamuno","Cartago",11
"286",30703,"Potrero Cerrado",307,"Oreamuno","Cartago",11
"287",30704,"Cipreses",307,"Oreamuno","Cartago",11
"288",30705,"Santa Rosa",307,"Oreamuno","Cartago",11
"289",30801,"El Tejar",308,"El Guarco","Cartago",11
"290",30802,"San Isidro",308,"El Guarco","Cartago",11
"291",30803,"Tobosi",308,"El Guarco","Cartago",11
"292",30804,"Patio de Agua",308,"El Guarco","Cartago",11
"293",40101,"Heredia",401,"Heredia","Heredia",11
"294",40102,"Mercedes",401,"Heredia","Heredia",11
"295",40103,"San Francisco",401,"Heredia","Heredia",11
"296",40104,"Ulloa",401,"Heredia","Heredia",11
"297",40105,"Vara Blanca",401,"Heredia","Heredia",11
"298",40201,"Barva",402,"Barva","Heredia",11
"299",40202,"San Pedro",402,"Barva","Heredia",11
"300",40203,"San Pablo",402,"Barva","Heredia",11
"301",40204,"San Roque",402,"Barva","Heredia",11
"302",40205,"Santa Lucía",402,"Barva","Heredia",11
"303",40206,"San José de la Montaña",402,"Barva","Heredia",11
"304",40207,"Puente Salas",402,"Barva","Heredia",2
"305",40301,"Santo Domingo",403,"Santo Domingo","Heredia",11
"306",40302,"San Vicente",403,"Santo Domingo","Heredia",11
"307",40303,"San Miguel",403,"Santo Domingo","Heredia",11
"308",40304,"Paracito",403,"Santo Domingo","Heredia",11
"309",40305,"Santo Tomás",403,"Santo Domingo","Heredia",11
"310",40306,"Santa Rosa",403,"Santo Domingo","Heredia",11
"311",40307,"Tures",403,"Santo Domingo","Heredia",11
"312",40308,"Pará",403,"Santo Domingo","Heredia",11
"313",40401,"Santa Bárbara",404,"Santa Bárbara","Heredia",11
"314",40402,"San Pedro",404,"Santa Bárbara","Heredia",11
"315",40403,"San Juan",404,"Santa Bárbara","Heredia",11
"316",40404,"Jesús",404,"Santa Bárbara","Heredia",11
"317",40405,"Santo Domingo",404,"Santa Bárbara","Heredia",11
"318",40406,"Purabá",404,"Santa Bárbara","Heredia",11
"319",40501,"San Rafael",405,"San Rafael","Heredia",11
"320",40502,"San Josecito",405,"San Rafael","Heredia",11
"321",40503,"Santiago",405,"San Rafael","Heredia",11
"322",40504,"Ángeles",405,"San Rafael","Heredia",11
"323",40505,"Concepción",405,"San Rafael","Heredia",11
"324",40601,"San Isidro",406,"San Isidro","Heredia",11
"325",40602,"San José",406,"San Isidro","Heredia",11
"326",40603,"Concepción",406,"San Isidro","Heredia",11
"327",40604,"San Francisco",406,"San Isidro","Heredia",11
"328",40701,"San Antonio",407,"Belén","Heredia",11
"329",40702,"La Ribera",407,"Belén","Heredia",11
"330",40703,"La Asunción",407,"Belén","Heredia",11
"331",40801,"San Joaquín",408,"Flores","Heredia",11
"332",40802,"Barrantes",408,"Flores","Heredia",11
"333",40803,"Llorente",408,"Flores","Heredia",11
"334",40901,"San Pablo",409,"San Pablo","Heredia",11
"335",40902,"Rincón de Sabanilla",409,"San Pablo","Heredia",11
"336",41001,"Puerto Viejo",410,"Sarapiquí","Heredia",11
"337",41002,"La Virgen",410,"Sarapiquí","Heredia",11
"338",41003,"Las Horquetas",410,"Sarapiquí","Heredia",11
"339",41004,"Llanuras del Gaspar",410,"Sarapiquí","Heredia",11
"340",41005,"Cureña",410,"Sarapiquí","Heredia",11
"341",50101,"Liberia",501,"Liberia","Guanacaste",11
"342",50102,"Cañas Dulces",501,"Liberia","Guanacaste",11
"343",50103,"Mayorga",501,"Liberia","Guanacaste",11
