"","effect","group","level","term","estimate","std.error","conf.low","conf.high"
"167","ran_vals","distrito_nombre2","20505-Concepción","(Intercept)",-46.4689122307345,53.1339907938798,-150.609620541622,57.6717960801526
"168","ran_vals","distrito_nombre2","20506-San José","(Intercept)",-29.528474360106,53.1339907938798,-133.669182670993,74.6122339507812
"169","ran_vals","distrito_nombre2","20507-Santa Eulalia","(Intercept)",-10.1952072711053,53.1339907938798,-114.335915581992,93.9455010397819
"170","ran_vals","distrito_nombre2","20508-Escobal","(Intercept)",-45.6063283688897,53.1339907938798,-149.747036679777,58.5343799419975
"171","ran_vals","distrito_nombre2","20601-Naranjo","(Intercept)",163.956084835773,53.1339907938798,59.8153765248855,268.09679314666
"172","ran_vals","distrito_nombre2","20602-San Miguel","(Intercept)",-100.454864697089,53.1339907938798,-204.595573007976,3.68584361379828
"173","ran_vals","distrito_nombre2","20603-San José","(Intercept)",-0.00805698258724193,53.1339907938798,-104.148765293474,104.1326513283
"174","ran_vals","distrito_nombre2","20604-Cirrí Sur","(Intercept)",-22.0826042526622,53.1339907938798,-126.223312563549,82.058104058225
"175","ran_vals","distrito_nombre2","20605-San Jerónimo","(Intercept)",16.1600497677752,53.1339907938798,-87.980658543112,120.300758078662
"176","ran_vals","distrito_nombre2","20606-San Juan","(Intercept)",17.8003707399237,53.1339907938798,-86.3403375709634,121.941079050811
"177","ran_vals","distrito_nombre2","20607-El Rosario","(Intercept)",-69.52916077217,53.1339907938798,-173.669869083057,34.6115475387172
"178","ran_vals","distrito_nombre2","20608-Palmitos","(Intercept)",-5.84181863895197,53.1339907938798,-109.982526949839,98.2988896719352
"179","ran_vals","distrito_nombre2","20701-Palmares","(Intercept)",456.358996398058,53.1339907938798,352.218288087171,560.499704708945
"180","ran_vals","distrito_nombre2","20702-Zaragoza","(Intercept)",8.96874345057785,53.1339907938798,-95.1719648603093,113.109451761465
"181","ran_vals","distrito_nombre2","20703-Buenos Aires","(Intercept)",-117.5261467615,53.1339907938798,-221.666855072387,-13.3854384506128
"182","ran_vals","distrito_nombre2","20704-Santiago","(Intercept)",-127.843729718422,53.1339907938798,-231.984438029309,-23.7030214075344
"183","ran_vals","distrito_nombre2","20705-Candelaria","(Intercept)",-115.540615174487,53.1339907938798,-219.681323485374,-11.3999068635994
"184","ran_vals","distrito_nombre2","20706-Esquipulas","(Intercept)",-158.125599458999,53.1339907938798,-262.266307769887,-53.9848911481122
"185","ran_vals","distrito_nombre2","20707-La Granja","(Intercept)",53.7083512648246,53.1339907938798,-50.4323570460626,157.849059575712
"186","ran_vals","distrito_nombre2","20801-San Pedro","(Intercept)",197.328978948454,53.1339907938798,93.1882706375665,301.469687259341
"187","ran_vals","distrito_nombre2","20802-San Juan","(Intercept)",-72.8134261047195,53.1339907938798,-176.954134415607,31.3272822061677
"188","ran_vals","distrito_nombre2","20803-San Rafael","(Intercept)",-45.0335978674618,53.1339907938798,-149.174306178349,59.1071104434254
"189","ran_vals","distrito_nombre2","20804-Carrillos","(Intercept)",-47.3974923957254,53.1339907938798,-151.538200706613,56.7432159151618
"190","ran_vals","distrito_nombre2","20805-Sabana Redonda","(Intercept)",-32.0844625805383,53.1339907938798,-136.225170891425,72.0562457303489
"191","ran_vals","distrito_nombre2","20901-Orotina","(Intercept)",99.0688808450026,53.1339907938798,-5.0718274658846,203.20958915589
"192","ran_vals","distrito_nombre2","20902-El Mastate","(Intercept)",-41.7435045902472,53.1339907938798,-145.884212901134,62.39720372064
