cod_canton,cod_distrito,anho,defunciones_hombres,defunciones_mujeres,defunciones_total
304,30402,2014,13,11,24
304,30403,2014,10,5,15
305,30501,2014,112,62,174
305,30502,2014,19,18,37
305,30503,2014,1,0,1
305,30504,2014,9,11,20
305,30505,2014,14,7,21
305,30506,2014,14,5,19
305,30507,2014,7,3,10
305,30508,2014,6,6,12
305,30509,2014,11,6,17
305,30510,2014,4,1,5
305,30511,2014,16,14,30
305,30512,2014,7,4,11
306,30601,2014,16,13,29
306,30602,2014,13,13,26
306,30603,2014,6,4,10
307,30701,2014,72,54,126
307,30702,2014,18,21,39
307,30703,2014,3,3,6
307,30704,2014,11,8,19
307,30705,2014,6,5,11
308,30801,2014,63,42,105
308,30802,2014,22,16,38
308,30803,2014,10,9,19
308,30804,2014,0,1,1
401,40101,2014,80,83,163
401,40102,2014,64,52,116
401,40103,2014,106,84,190
401,40104,2014,51,37,88
401,40105,2014,0,1,1
402,40201,2014,12,17,29
402,40202,2014,28,25,53
402,40203,2014,14,11,25
402,40204,2014,5,7,12
402,40205,2014,7,11,18
402,40206,2014,16,7,23
403,40301,2014,31,31,62
403,40302,2014,6,16,22
403,40303,2014,10,17,27
403,40304,2014,3,1,4
403,40305,2014,14,19,33
403,40306,2014,18,18,36
403,40307,2014,9,5,14
403,40308,2014,5,7,12
404,40401,2014,17,21,38
404,40402,2014,12,8,20
404,40403,2014,15,19,34
404,40404,2014,17,15,32
404,40405,2014,5,6,11
404,40406,2014,7,6,13
405,40501,2014,27,31,58
405,40502,2014,16,25,41
405,40503,2014,21,11,32
405,40504,2014,26,21,47
405,40505,2014,20,8,28
406,40601,2014,24,20,44
406,40602,2014,14,11,25
406,40603,2014,6,4,10
406,40604,2014,9,1,10
407,40701,2014,33,15,48
407,40702,2014,10,12,22
407,40703,2014,9,8,17
408,40801,2014,35,20,55
408,40802,2014,11,8,19
408,40803,2014,19,12,31
409,40901,2014,66,54,120
409,40902,2014,7,7,14
410,41001,2014,51,20,71
410,41002,2014,19,5,24
410,41005,2014,0,0,0
410,41003,2014,54,46,100
410,41004,2014,2,0,2
501,50101,2014,156,117,273
501,50102,2014,7,6,13
501,50103,2014,6,1,7
501,50104,2014,10,1,11
501,50105,2014,9,5,14
502,50201,2014,85,61,146
502,50202,2014,14,14,28
502,50203,2014,28,21,49
502,50204,2014,17,14,31
502,50205,2014,3,4,7
502,50206,2014,5,6,11
502,50207,2014,3,10,13
503,50301,2014,73,54,127
503,50302,2014,3,4,7
503,50303,2014,23,16,39
503,50304,2014,17,9,26
503,50305,2014,6,7,13
503,50306,2014,3,3,6
503,50307,2014,12,7,19
503,50308,2014,11,6,17
503,50309,2014,27,6,33
504,50401,2014,43,20,63
504,50402,2014,7,5,12
504,50403,2014,8,6,14
504,50404,2014,9,4,13
505,50501,2014,34,17,51
505,50502,2014,18,11,29
505,50503,2014,44,22,66
505,50504,2014,24,18,42
506,50601,2014,58,48,106
506,50602,2014,6,3,9
506,50603,2014,3,4,7
506,50604,2014,11,4,15
506,50605,2014,0,1,1
507,50701,2014,27,21,48
507,50702,2014,2,2,4
507,50703,2014,0,3,3
507,50704,2014,13,9,22
508,50801,2014,36,27,63
508,50802,2014,4,4,8
508,50803,2014,3,4,7
508,50804,2014,4,4,8
508,50805,2014,2,0,2
508,50806,2014,6,1,7
508,50807,2014,9,4,13
509,50901,2014,12,7,19
509,50902,2014,8,13,21
509,50903,2014,3,2,5
509,50904,2014,3,7,10
509,50905,2014,1,2,3
509,50906,2014,10,1,11
510,51001,2014,25,11,36
510,51002,2014,13,11,24
510,51003,2014,6,2,8
510,51004,2014,3,2,5
511,51101,2014,13,9,22
511,51102,2014,3,1,4
511,51103,2014,3,0,3
511,51104,2014,4,1,5
601,60101,2014,41,36,77
601,60102,2014,2,7,9
601,60103,2014,18,11,29
601,60104,2014,30,26,56
601,60105,2014,12,8,20
601,60106,2014,5,4,9
601,60107,2014,5,4,9
601,60108,2014,102,71,173
612,61201,2014,8,2,10
601,60110,2014,0,0,0
601,60111,2014,18,13,31
601,60112,2014,68,69,137
601,60113,2014,3,3,6
601,60114,2014,4,3,7
601,60116,2014,0,0,0
601,60115,2014,46,31,77
602,60201,2014,46,48,94
602,60202,2014,16,11,27
602,60203,2014,14,14,28
602,60204,2014,4,2,6
602,60205,2014,6,1,7
603,60301,2014,39,22,61
603,60302,2014,7,7,14
603,60303,2014,14,10,24
603,60304,2014,9,10,19
603,60305,2014,5,3,8
603,60306,2014,1,1,2
603,60307,2014,3,4,7
603,60308,2014,3,5,8
603,60309,2014,10,2,12
604,60401,2014,41,26,67
604,60402,2014,2,3,5
604,60403,2014,5,7,12
605,60501,2014,33,24,57
605,60502,2014,39,14,53
605,60503,2014,9,3,12
605,60504,2014,10,2,12
605,60505,2014,12,8,20
605,60506,2014,0,1,1
606,60601,2014,56,36,92
606,60602,2014,10,2,12
606,60603,2014,12,6,18
607,60701,2014,35,25,60
613,61301,2014,14,14,28
607,60703,2014,42,25,67
607,60704,2014,19,6,25
608,60801,2014,37,24,61
608,60802,2014,29,16,45
608,60803,2014,18,10,28
608,60804,2014,8,5,13
608,60805,2014,6,3,9
609,60901,2014,45,27,72
610,61001,2014,41,29,70
610,61002,2014,15,8,23
610,61003,2014,35,21,56
610,61004,2014,21,8,29
611,61101,2014,30,14,44
611,61102,2014,12,8,20
701,70101,2014,222,147,369
701,70102,2014,28,11,39
701,70103,2014,10,6,16
701,70104,2014,21,12,33
702,70201,2014,100,47,147
702,70202,2014,30,13,43
702,70203,2014,54,30,84
702,70204,2014,28,13,41
702,70205,2014,84,55,139
702,70206,2014,7,1,8
702,70207,2014,10,12,22
703,70301,2014,87,47,134
703,70302,2014,14,7,21
703,70303,2014,2,2,4
703,70304,2014,7,5,12
703,70305,2014,17,10,27
703,70306,2014,7,8,15
704,70401,2014,16,11,27
704,70402,2014,25,9,34
704,70403,2014,21,13,34
704,70404,2014,11,7,18
705,70501,2014,21,11,32
705,70502,2014,44,18,62
705,70503,2014,17,8,25
706,70601,2014,56,24,80
706,70602,2014,3,1,4
706,70603,2014,8,13,21
706,70604,2014,27,12,39
706,70605,2014,10,8,18
101,10101,2016,29,33,62
101,10102,2016,45,38,83
101,10103,2016,113,92,205
101,10104,2016,75,67,142
101,10105,2016,60,62,122
101,10106,2016,63,62,125
101,10107,2016,86,65,151
101,10108,2016,35,27,62
101,10109,2016,222,180,402
101,10110,2016,159,147,306
101,10111,2016,129,107,236
102,10201,2016,64,51,115
102,10202,2016,68,49,117
102,10203,2016,80,58,138
103,10301,2016,132,141,273
103,10302,2016,100,82,182
103,10303,2016,51,40,91
103,10304,2016,42,58,100
103,10305,2016,41,29,70
103,10306,2016,17,12,29
103,10307,2016,28,21,49
103,10308,2016,3,6,9
103,10309,2016,7,7,14
103,10310,2016,28,27,55
103,10311,2016,41,32,73
103,10312,2016,43,52,95
103,10313,2016,46,44,90
104,10401,2016,47,26,73
