cod_canton,cod_distrito,distrito_nombre,area_km2
702,70206,Colorado,948.44
702,70207,La Colonia,38.79
703,70301,Siquirres,184.21
703,70302,Pacuarito,220.02
703,70303,Florida,81.93
703,70304,Germania,33.96
703,70305,El Cairo,106.96
703,70306,Alegría,38.05
703,70307,Reventazón,190.01
704,70401,Bratsi,180.85
704,70402,Sixaola,169.01
704,70403,Cahuita,234.07
704,70404,Telire,2208.3
705,70501,Matina,351.45
705,70502,Batán,213.41
705,70503,Carrandí,205.54
706,70601,Guácimo,223.79
706,70602,Mercedes,90.06
706,70603,Pocora,72.88
706,70604,Río Jiménez,333.71
706,70605,Duacarí,81.12
